,variable,logistic_roc_target,mutual_info_target,decisionTree_gain_target,lightGBM_gain_target,lightGBM_split_target,standard_score
2,worst_area,0.9690002634237812,0.46492495384432964,0.01755479657004781,349.1490196697414,18,133
4,worst_concave_points,0.9655448409665572,0.4380568671666958,0.11155179425900354,451.514878064394,12,132
6,mean_area,0.9390083394423387,0.3604946374887561,0.04883476234144706,246.55301394313574,26,128
0,worst_perimeter,0.9757102152102972,0.47670672295317496,0.0,53.00796800851822,10,124
1,worst_radius,0.9701789873608575,0.45463009052805403,0.07449282529361903,6.83583352714777,7,112
